,Ticker,UnderlyingPrice,Flags,Type,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest,Expires,Data_Date
155148,CRZO,22.28,*,call,55.0,0.96,0.0,0.5,0,11,0,2016-07-15,2016-02-18
155149,CRZO,22.28,*,put,55.0,21.8,30.7,33.5,0,0,0,2016-07-15,2016-02-18
155150,CRZO,22.28,*,call,5.0,0.0,17.0,20.6,0,0,0,2017-01-20,2016-02-18
155151,CRZO,22.28,*,put,5.0,0.3,0.0,1.0,0,2,0,2017-01-20,2016-02-18
155152,CRZO,22.28,*,call,7.5,0.0,14.0,18.5,0,0,0,2017-01-20,2016-02-18
155153,CRZO,22.28,*,put,7.5,0.0,0.1,1.0,0,0,0,2017-01-20,2016-02-18
155154,CRZO,22.28,*,call,10.0,0.0,12.8,17.0,0,0,0,2017-01-20,2016-02-18
155155,CRZO,22.28,*,put,10.0,1.5,0.6,1.5,0,1,0,2017-01-20,2016-02-18
155156,CRZO,22.28,*,call,12.5,0.0,11.1,15.0,0,0,0,2017-01-20,2016-02-18
155157,CRZO,22.28,*,put,12.5,1.75,1.15,2.05,0,14,0,2017-01-20,2016-02-18
155158,CRZO,22.28,*,call,15.0,0.0,9.6,13.5,0,0,0,2017-01-20,2016-02-18
155159,CRZO,22.28,*,put,15.0,3.9,1.85,2.8,0,10,0,2017-01-20,2016-02-18
155160,CRZO,22.28,*,call,17.5,0.0,7.8,11.2,0,0,0,2017-01-20,2016-02-18
155161,CRZO,22.28,*,put,17.5,5.2,2.4,3.9,0,0,0,2017-01-20,2016-02-18
155162,CRZO,22.28,*,call,20.0,6.74,6.7,9.8,0,18,0,2017-01-20,2016-02-18
155163,CRZO,22.28,*,put,20.0,5.1,3.5,5.0,0,17,0,2017-01-20,2016-02-18
155164,CRZO,22.28,*,call,22.5,8.1,5.9,8.5,0,2,0,2017-01-20,2016-02-18
155165,CRZO,22.28,*,put,22.5,5.75,4.8,6.4,0,2,0,2017-01-20,2016-02-18
155166,CRZO,22.28,*,call,25.0,5.78,4.5,7.4,0,1,0,2017-01-20,2016-02-18
155167,CRZO,22.28,*,put,25.0,7.0,5.9,7.9,0,80,0,2017-01-20,2016-02-18
155168,CRZO,22.28,*,call,27.5,6.01,3.9,7.4,0,1,0,2017-01-20,2016-02-18
155169,CRZO,22.28,*,put,27.5,6.1,7.4,9.7,0,10,0,2017-01-20,2016-02-18
155170,CRZO,22.28,*,call,30.0,4.0,3.3,5.3,0,12,0,2017-01-20,2016-02-18
155171,CRZO,22.28,*,put,30.0,10.0,9.1,11.6,0,12,0,2017-01-20,2016-02-18
155172,CRZO,22.28,*,call,32.5,3.0,3.0,4.7,0,2,0,2017-01-20,2016-02-18
155173,CRZO,22.28,*,put,32.5,7.4,10.2,13.6,0,15,0,2017-01-20,2016-02-18
155174,CRZO,22.28,*,call,35.0,3.2,2.3,4.1,0,23,0,2017-01-20,2016-02-18
155175,CRZO,22.28,*,put,35.0,10.86,12.0,15.9,0,6,0,2017-01-20,2016-02-18
155176,CRZO,22.28,*,call,37.5,5.1,1.2,3.6,0,8,0,2017-01-20,2016-02-18
155177,CRZO,22.28,*,put,37.5,12.7,14.3,17.9,0,1,0,2017-01-20,2016-02-18
155178,CRZO,22.28,*,call,40.0,3.2,0.75,2.95,0,9,0,2017-01-20,2016-02-18
155179,CRZO,22.28,*,put,40.0,19.75,16.5,20.0,0,19,0,2017-01-20,2016-02-18
155180,CRZO,22.28,*,call,42.5,0.0,0.85,2.6,0,0,0,2017-01-20,2016-02-18
155181,CRZO,22.28,*,put,42.5,0.0,18.5,22.4,0,0,0,2017-01-20,2016-02-18
155182,CRZO,22.28,*,call,45.0,2.8,1.05,2.05,0,68,0,2017-01-20,2016-02-18
155183,CRZO,22.28,*,put,45.0,23.2,20.9,24.6,0,11,0,2017-01-20,2016-02-18
155184,CRZO,22.28,*,call,47.5,0.0,0.8,1.8,0,0,0,2017-01-20,2016-02-18
155185,CRZO,22.28,*,put,47.5,14.4,23.1,26.8,0,25,0,2017-01-20,2016-02-18
155186,CRZO,22.28,*,call,50.0,5.55,0.6,1.55,0,3,0,2017-01-20,2016-02-18
155187,CRZO,22.28,*,put,50.0,28.2,25.3,29.2,0,10,0,2017-01-20,2016-02-18
155188,CRZO,22.28,*,call,55.0,0.8,0.0,1.2,0,24,0,2017-01-20,2016-02-18
155189,CRZO,22.28,*,put,55.0,19.6,30.5,33.9,0,1,0,2017-01-20,2016-02-18
155190,CRZO,22.28,*,call,2.5,0.0,18.5,22.9,0,0,0,2018-01-19,2016-02-18
155191,CRZO,22.28,*,put,2.5,0.3,0.0,1.0,0,6,0,2018-01-19,2016-02-18
155192,CRZO,22.28,*,call,5.0,0.0,16.9,21.0,0,0,0,2018-01-19,2016-02-18
155193,CRZO,22.28,*,put,5.0,0.0,0.15,1.1,0,0,0,2018-01-19,2016-02-18
155194,CRZO,22.28,*,call,7.5,0.0,15.0,19.5,0,0,0,2018-01-19,2016-02-18
155195,CRZO,22.28,*,put,7.5,0.0,0.75,1.65,0,0,0,2018-01-19,2016-02-18
155196,CRZO,22.28,*,call,10.0,0.0,13.4,17.8,0,0,0,2018-01-19,2016-02-18
155197,CRZO,22.28,*,put,10.0,0.0,1.4,2.35,0,0,0,2018-01-19,2016-02-18
155198,CRZO,22.28,*,call,12.5,0.0,12.1,16.3,0,0,0,2018-01-19,2016-02-18
155199,CRZO,22.28,*,put,12.5,0.0,2.2,3.4,0,0,0,2018-01-19,2016-02-18
155200,CRZO,22.28,*,call,15.0,0.0,10.9,15.0,0,0,0,2018-01-19,2016-02-18
155201,CRZO,22.28,*,put,15.0,0.0,2.95,4.5,0,0,0,2018-01-19,2016-02-18
155202,CRZO,22.28,*,call,17.5,0.0,9.5,13.8,0,0,0,2018-01-19,2016-02-18
155203,CRZO,22.28,*,put,17.5,2.46,4.5,5.8,0,5,0,2018-01-19,2016-02-18
155204,CRZO,22.28,*,call,20.0,0.0,8.7,12.8,0,0,0,2018-01-19,2016-02-18
155205,CRZO,22.28,*,put,20.0,6.81,5.7,7.3,0,63,0,2018-01-19,2016-02-18
155206,CRZO,22.28,*,call,22.5,0.0,7.6,11.8,0,0,0,2018-01-19,2016-02-18
155207,CRZO,22.28,*,put,22.5,7.55,7.1,8.5,0,48,0,2018-01-19,2016-02-18
155208,CRZO,22.28,*,call,25.0,5.5,7.0,10.0,0,10,0,2018-01-19,2016-02-18
155209,CRZO,22.28,*,put,25.0,5.9,8.0,10.5,0,40,0,2018-01-19,2016-02-18
155210,CRZO,22.28,*,call,27.5,7.5,6.4,9.0,0,0,0,2018-01-19,2016-02-18
155211,CRZO,22.28,*,put,27.5,8.6,10.1,12.7,0,23,0,2018-01-19,2016-02-18
155212,CRZO,22.28,*,call,30.0,5.0,5.6,8.2,0,5,0,2018-01-19,2016-02-18
155213,CRZO,22.28,*,put,30.0,7.58,10.5,14.1,0,20,0,2018-01-19,2016-02-18
155214,CRZO,22.28,*,call,32.5,4.4,4.8,7.6,0,2,0,2018-01-19,2016-02-18
155215,CRZO,22.28,*,put,32.5,8.59,12.3,16.1,0,8,0,2018-01-19,2016-02-18
155216,CRZO,22.28,*,call,35.0,0.0,4.5,7.1,0,0,0,2018-01-19,2016-02-18
155217,CRZO,22.28,*,put,35.0,0.0,15.1,17.9,0,0,0,2018-01-19,2016-02-18
155218,CRZO,22.28,*,call,37.5,3.35,4.0,6.3,0,2,0,2018-01-19,2016-02-18
155219,CRZO,22.28,*,put,37.5,0.0,17.1,19.8,0,0,0,2018-01-19,2016-02-18
155220,CRZO,22.28,*,call,40.0,4.23,3.5,5.8,0,79,0,2018-01-19,2016-02-18
155221,CRZO,22.28,*,put,40.0,12.0,18.3,21.7,0,25,0,2018-01-19,2016-02-18
155222,CRZO,22.28,*,call,42.5,0.0,3.1,5.4,0,0,0,2018-01-19,2016-02-18
155223,CRZO,22.28,*,put,42.5,0.0,20.4,24.0,0,0,0,2018-01-19,2016-02-18
155224,CRZO,22.28,*,call,45.0,3.25,2.95,6.3,0,12,0,2018-01-19,2016-02-18
155225,CRZO,22.28,*,put,45.0,0.0,22.5,26.3,0,0,0,2018-01-19,2016-02-18
155226,CRZO,22.28,*,call,47.5,0.0,2.1,4.5,0,0,0,2018-01-19,2016-02-18
155227,CRZO,22.28,*,put,47.5,0.0,24.7,28.5,0,0,0,2018-01-19,2016-02-18
155228,CRZO,22.28,*,call,50.0,0.0,2.2,4.5,0,0,0,2018-01-19,2016-02-18
155229,CRZO,22.28,*,put,50.0,0.0,26.9,30.5,0,0,0,2018-01-19,2016-02-18
155230,CRZO,22.28,*,call,55.0,3.4,1.7,3.7,0,56,0,2018-01-19,2016-02-18
155231,CRZO,22.28,*,put,55.0,0.0,31.3,35.5,0,0,0,2018-01-19,2016-02-18
231407,ERI,9.6,*,call,5.0,0.0,4.2,5.0,0,0,0,2016-02-19,2016-02-18
231408,ERI,9.6,*,put,5.0,0.0,0.0,0.25,0,0,0,2016-02-19,2016-02-18
231409,ERI,9.6,*,call,7.5,0.0,1.85,2.35,0,0,0,2016-02-19,2016-02-18
231410,ERI,9.6,*,put,7.5,0.0,0.0,0.25,0,0,0,2016-02-19,2016-02-18
